sintomas,especialidad
Ayúdeme con estoy amarillo como patito intermitente.,Gastroenterología
Tengo estoy vomitando sangre intermitente.,Gastroenterología
Presento sudo demasiado sin hacer nada desde esta mañana.,Endocrinología
Acude por presentar me duele mucho un testículo que no pasa.,Urología
Ayúdeme con disfagia progresiva desde hace 3 días.,Oncología
Acude por presentar me duele full el oído derecho desde hace 3 días.,Otorrinolaringología
"Cólico renoureteral, acompañado de disuria y polaquiuria.",Urología
"Doctor, tengo sudo demasiado sin hacer nada de inicio súbito.",Endocrinología
"Tengo una fiebre que no se me va, sumado a tengo bolas en el cuello y axilas.",Infectología
Tengo algia lumbar mecánica desde hace 3 días.,Traumatología
Se queja de crisis convulsiva tónico-clónica intermitente.,Neurología
Indica tener tengo un dolorcito de cabeza desde hace 3 días.,Medicina General
Desde ayer tengo disnea de esfuerzo de inicio súbito.,Cardiología
Desde ayer tengo acné nódulo-quístico de inicio súbito.,Dermatología
Siento que quemadura de segundo grado que no pasa.,Emergencias
Manifiesta se me están enchuecando los dedos intermitente.,Reumatología
Edema en miembros inferiores y además disnea de esfuerzo.,Cardiología
"Reacción a medicamentos, también refiere prurito ocular y nasal.",Alergología
Palpitaciones taquicárdicas con hipertensión arterial descontrolada.,Cardiología
Se queja de se me hinchó la boca y los ojos constante.,Alergología
Siento que se cortó feo y sale mucha sangre desde esta mañana.,Emergencias
Ayúdeme con tengo el ojo rojo como tomate constante.,Oftalmología
Paciente refiere que deformidad articular hace una semana.,Reumatología
Indica tener edema en miembros inferiores constante.,Cardiología
Presento tos productiva con esputo hace una semana.,Neumología
Me da colitis ulcerosa constante.,Gastroenterología
Acné nódulo-quístico y además dermatitis atópica.,Dermatología
Manifiesta fractura expuesta de inicio súbito.,Traumatología
"Doctor, tengo veo lucecitas antes de que me duela la cabeza que no pasa.",Neurología
Desde ayer tengo quemadura de segundo grado desde hace 3 días.,Emergencias
"Deformidad articular, acompañado de dolor poliarticular.",Reumatología
Hay presencia de intoxicación exógena que no pasa.,Emergencias
Me da crisis de ansiedad generalizada constante.,Psiquiatría
Acude por presentar rinorrea hialina de inicio súbito.,Medicina General
Presento dolor pleurítico que no pasa.,Neumología
"Me siento muy nervioso y con miedo, acompañado de escucho voces que nadie más oye.",Psiquiatría
"Fiebre de origen desconocido, sumado a lesiones herpéticas.",Infectología
Ayúdeme con tengo un nacido en la encía hace una semana.,Odontología
Me duele toda la cabeza como si tuviera una vincha y siente siento hormigueo en medio cuerpo.,Neurología
"Alucinaciones auditivas, sumado a ánimo depresivo persistente.",Psiquiatría
Se queja de quemadura de segundo grado de inicio súbito.,Emergencias
Tengo el guagua está hirviendo en fiebre de inicio súbito.,Pediatría
Dolor abdominal inespecífico con astenia y adinamia.,Medicina General
"Rigidez articular, acompañado de fenómeno de Raynaud.",Reumatología
"Doctor, tengo siento hormigueo en medio cuerpo de inicio súbito.",Neurología
Paciente refiere que le dio el ataque y se sacudió desde hace 3 días.,Neurología
Hay presencia de hematemesis desde esta mañana.,Gastroenterología
Absceso periodontal y además halitosis.,Odontología
Paciente refiere que me arde para orinar y voy a cada rato intermitente.,Urología
"Lesiones herpéticas, sumado a sudoración nocturna.",Infectología
Acude por presentar crisis convulsiva tónico-clónica desde hace 3 días.,Neurología
Manifiesta colitis ulcerosa constante.,Gastroenterología
"Edema en miembros inferiores, también refiere palpitaciones taquicárdicas.",Cardiología
Ayúdeme con se me ponen los dedos blancos con el frío constante.,Reumatología
Desde ayer tengo síncope vasovagal que no pasa.,Cardiología
Se queja de me siento decaído y sin fuerzas que no pasa.,Medicina General
Acude por presentar me duele todo el cuerpo hace una semana.,Medicina General
Acude por presentar estoy vomitando sangre de inicio súbito.,Gastroenterología
Siento que estoy vomitando sangre de inicio súbito.,Gastroenterología
Desde ayer tengo prurito ocular y nasal desde hace 3 días.,Alergología
"Dolor testicular agudo, sumado a disfunción eréctil.",Urología
Acude por presentar sibilancias espiratorias de inicio súbito.,Neumología
Sangrado uterino anormal y siente leucorrea fétida.,Ginecología
"Ictericia marcada, sumado a epigastralgia urente.",Gastroenterología
Se queja de fiebre de origen desconocido de inicio súbito.,Infectología
Paciente refiere que le salieron granitos en todo el cuerpo hace una semana.,Pediatría
Absceso periodontal con halitosis.,Odontología
"Intoxicación exógena, sumado a traumatismo craneoencefálico.",Emergencias
Presenta alucinaciones auditivas y dice que no puedo pegar el ojo en toda la noche.,Psiquiatría
Siento que estoy con calentura y cuerpo cortado desde hace 3 días.,Infectología
Se queja de quemadura de segundo grado desde hace 3 días.,Emergencias
Hipertensión arterial descontrolada con edema en miembros inferiores.,Cardiología
Hay presencia de intoxicación exógena constante.,Emergencias
Me ahogo cuando estoy durmiendo con me punza la espalda al respirar.,Neumología
Acude por presentar mojo la cama de sudor en la noche de inicio súbito.,Infectología
"Doctor, tengo se me va el aire al subir gradas hace una semana.",Cardiología
Presento tengo bolas en el cuello y axilas desde esta mañana.,Infectología
Tengo hiperemia conjuntival hace una semana.,Oftalmología
"Me vienen unos cólicos que me tumban, también refiere me baja la regla muy fuerte y a deshora.",Ginecología
Presenta prurito ocular y nasal y dice que me salió alergia por tocar algo.,Alergología
Rigidez articular con fenómeno de Raynaud.,Reumatología
Se queja de ya no hago del baño como antes desde hace 3 días.,Oncología
Acude por presentar adenopatías generalizadas desde hace 3 días.,Infectología
"Doctor, tengo rechinar los dientes al dormir constante.",Odontología
"Cólico renoureteral, sumado a dolor testicular agudo.",Urología
"Me dio un soponcio y me caí, acompañado de me hinca el corazón.",Cardiología
Reflujo gastroesofágico y siente hematemesis.,Gastroenterología
Micosis cutánea y además nevus displásico.,Dermatología
Manifiesta paso con frío todo el tiempo de inicio súbito.,Endocrinología
Tengo un nacido en la encía y además tengo mal aliento.,Odontología
"Epigastralgia urente, también refiere dispepsia funcional.",Gastroenterología
Paciente refiere que dolor abdominal inespecífico desde esta mañana.,Medicina General
Paciente refiere que hipertensión arterial descontrolada hace una semana.,Cardiología
Se queja de cefalea leve constante.,Medicina General
Acude por presentar dolor en fosa renal constante.,Nefrología
Manifiesta me cae mal todo lo que como que no pasa.,Gastroenterología
Manifiesta la luz me molesta muchísimo que no pasa.,Oftalmología
Me siento una bola dura que no duele con tengo sangre en las heces.,Oncología
Presenta dermatitis de contacto y dice que me salió alergia por tocar algo.,Alergología
Se queja de tengo un nacido en la encía que no pasa.,Odontología
Hay presencia de no puedo mover la rodilla ni un poquito hace una semana.,Traumatología
Siento que vértigo periférico intermitente.,Neurología
Artralgias matutinas y además rigidez articular.,Reumatología
Paciente refiere que no puedo ni tragar del dolor de garganta desde hace 3 días.,Otorrinolaringología
"Masa palpable no dolorosa, acompañado de disfagia progresiva.",Oncología
Migraña con aura y además vértigo periférico.,Neurología
"Anafilaxia, acompañado de intoxicación exógena.",Emergencias
Hay presencia de se me hinchó la boca y los ojos desde hace 3 días.,Alergología
"Tengo mal aliento, también refiere me duele la muela horrible.",Odontología
Se queja de fotofobia intermitente.,Oftalmología
Desde ayer tengo tengo el ojo rojo como tomate constante.,Oftalmología
Estoy engordando sin comer tanto y además paso con frío todo el tiempo.,Endocrinología
Hay presencia de hipoacusia súbita constante.,Otorrinolaringología
"Me dio un soponcio y me caí, sumado a me hinca el corazón.",Cardiología
Hay presencia de reflujo gastroesofágico desde hace 3 días.,Gastroenterología
Siento que fenómeno de Raynaud constante.,Reumatología
Quemadura de segundo grado y además intoxicación exógena.,Emergencias
"Me arde la boca del estómago, también refiere se me regresa la comida agria.",Gastroenterología
Paciente refiere que tengo la presión por las nubes hace una semana.,Cardiología
Desde ayer tengo amanecí con los ojos hinchados constante.,Nefrología
Cefalea tensional holocraneal con parestesias en hemicuerpo.,Neurología
Me da tengo un dolorcito de cabeza constante.,Medicina General
Tengo un dolor en el riñón que me dobla y además estoy orinando sangre.,Urología
Edema periorbitario con proteinuria espumosa.,Nefrología
Tengo me cae mal todo lo que como constante.,Gastroenterología
Polidipsia y poliuria y siente intolerancia al frío.,Endocrinología
Me da prurito vulvar de inicio súbito.,Ginecología
Hay presencia de absceso periodontal de inicio súbito.,Odontología
Me punza la espalda al respirar con me chilla el pecho al respirar.,Neumología
"Doctor, tengo tengo tos de perro con flema hace una semana.",Neumología
Rinitis alérgica estacional y siente dermatitis de contacto.,Alergología
Paciente refiere que me duele la muela horrible constante.,Odontología
Presenta cefalea tensional holocraneal y dice que siento hormigueo en medio cuerpo.,Neurología
Hay presencia de tos ferina que no pasa.,Pediatría
Desde ayer tengo tengo tos de perro con flema desde esta mañana.,Neumología
Me da se me regresa la comida agria hace una semana.,Gastroenterología
Presenta hipertensión arterial descontrolada y dice que tengo las piernas hinchadas como tamal.,Cardiología
Me da artralgias matutinas desde hace 3 días.,Reumatología
Desde ayer tengo tengo una picazón allá abajo desde esta mañana.,Ginecología
Hay presencia de otalgia derecha constante.,Otorrinolaringología
Presento colitis ulcerosa intermitente.,Gastroenterología
Acude por presentar mojo la cama de sudor en la noche desde hace 3 días.,Infectología
Se queja de ideación suicida constante.,Psiquiatría
Tengo no puedo pegar el ojo en toda la noche constante.,Psiquiatría
"Tengo la presión por las nubes, acompañado de me hinca el corazón.",Cardiología
Ayúdeme con se me salió el hueso intermitente.,Traumatología
"Sudoración nocturna, sumado a lesiones herpéticas.",Infectología
"Me dio un soponcio y me caí, también refiere me palpita feo el corazón.",Cardiología
Se queja de irritabilidad y llanto constante que no pasa.,Pediatría
"Tos productiva con esputo, sumado a dolor pleurítico.",Neumología
Desde ayer tengo amanezco tieso constante.,Reumatología
"Adenopatías generalizadas, acompañado de sudoración nocturna.",Infectología
Manifiesta tiene una tos que no se le quita desde hace 3 días.,Pediatría
Siento que tengo el ojo rojo como tomate hace una semana.,Oftalmología
Me da alucinaciones auditivas constante.,Psiquiatría
Desde ayer tengo algia lumbar mecánica intermitente.,Traumatología
Hay presencia de tengo mucha sed y orino bastante constante.,Endocrinología
Tengo casi no estoy orinando nada de inicio súbito.,Nefrología
Tengo tos ferina hace una semana.,Pediatría
Siento que paso estornudando todo el día desde esta mañana.,Alergología
Indica tener rigidez articular desde hace 3 días.,Reumatología
Manifiesta gingivorragia que no pasa.,Odontología
Parestesias en hemicuerpo y siente crisis convulsiva tónico-clónica.,Neurología
Tengo me palpita feo el corazón intermitente.,Cardiología
Estoy amarillo como patito y siente me cae mal todo lo que como.,Gastroenterología
Siento que me salió alergia por tocar algo de inicio súbito.,Alergología
Se queja de epistaxis anterior hace una semana.,Otorrinolaringología
Hay presencia de estoy orinando sangre desde esta mañana.,Urología
Epigastralgia urente y siente distensión abdominal.,Gastroenterología
Tengo astenia y adinamia de inicio súbito.,Medicina General
"Me duelen los senos antes de la menstruación, acompañado de tengo un descenso que huele mal.",Ginecología
Me arde para orinar y voy a cada rato con tengo un dolor en el riñón que me dobla.,Urología
Se queja de me duelen los senos antes de la menstruación que no pasa.,Ginecología
Tengo un descenso que huele mal y además me baja la regla muy fuerte y a deshora.,Ginecología
Desde ayer tengo hematemesis intermitente.,Gastroenterología
Presento dolor en fosa renal que no pasa.,Nefrología
Me da me arde la boca del estómago hace una semana.,Gastroenterología
Me da tengo bolas en el cuello y axilas que no pasa.,Infectología
"Distensión abdominal, acompañado de hematemesis.",Gastroenterología
Hay presencia de estoy con calentura y cuerpo cortado intermitente.,Infectología
Tengo diaforesis excesiva de inicio súbito.,Endocrinología
Ayúdeme con tengo un dolorcito de cabeza de inicio súbito.,Medicina General
Me da cefalea leve hace una semana.,Medicina General
"Doctor, tengo se me está cayendo el pelo por parches desde esta mañana.",Dermatología
Tengo me duele la muela horrible intermitente.,Odontología
Odontalgia severa y siente halitosis.,Odontología
Acude por presentar migraña con aura de inicio súbito.,Neurología
"Paciente refiere que no tengo ganas de hacer nada, solo llorar de inicio súbito.",Psiquiatría
Indica tener me duele la espalda baja a los lados desde hace 3 días.,Nefrología
Me duele full el oído derecho y siente me quedé sordo de golpe.,Otorrinolaringología
Tengo amanecí con los ojos hinchados de inicio súbito.,Nefrología
"Doctor, tengo no puedo mover la rodilla ni un poquito constante.",Traumatología
Presento otalgia derecha constante.,Otorrinolaringología
"Síndrome febril agudo, sumado a sudoración nocturna.",Infectología
Siento que tos productiva con esputo que no pasa.,Neumología
Tengo tengo el ojo rojo como tomate que no pasa.,Oftalmología
"Doctor, tengo ideación suicida que no pasa.",Psiquiatría
Me da edema en miembros inferiores de inicio súbito.,Cardiología
Desde ayer tengo tengo una fiebre que no se me va desde esta mañana.,Infectología
Astenia y adinamia con cefalea leve.,Medicina General
Siento que casi no estoy orinando nada intermitente.,Nefrología
Me da prurito ocular y nasal de inicio súbito.,Alergología
"No tengo ganas de hacer nada, solo llorar, acompañado de escucho voces que nadie más oye.",Psiquiatría
Hay presencia de absceso periodontal desde esta mañana.,Odontología
Presenta colitis ulcerosa y dice que me arde la boca del estómago.,Gastroenterología
Indica tener intolerancia al frío desde esta mañana.,Endocrinología
"Doctor, tengo pérdida de peso caquectizante que no pasa.",Oncología
Paciente refiere que fiebre de origen desconocido hace una semana.,Infectología
Paso estornudando todo el día y además se me hinchó la boca y los ojos.,Alergología
Acude por presentar me vienen unos cólicos que me tumban desde hace 3 días.,Ginecología
Presento angina de pecho estable desde hace 3 días.,Cardiología
"Veo lucecitas antes de que me duela la cabeza, acompañado de siento hormigueo en medio cuerpo.",Neurología
Hipertensión arterial descontrolada y además angina de pecho estable.,Cardiología
Hay presencia de casi no estoy orinando nada que no pasa.,Nefrología
Hay presencia de estoy tosiendo sangre que no pasa.,Neumología
Manifiesta dermatitis de contacto desde esta mañana.,Alergología
Hipoacusia súbita y siente vértigo posicional.,Otorrinolaringología
Siento que la luz me molesta muchísimo desde hace 3 días.,Oftalmología
Manifiesta me estoy secando de lo flaco que no pasa.,Oncología
Me cae mal todo lo que como y además estoy amarillo como patito.,Gastroenterología
Ayúdeme con nevus displásico intermitente.,Dermatología
"Me salió un lunar raro, sumado a se me está cayendo el pelo por parches.",Dermatología
Indica tener fiebre de origen desconocido desde hace 3 días.,Infectología
Paciente refiere que ideación suicida de inicio súbito.,Psiquiatría
Desde ayer tengo proteinuria espumosa intermitente.,Nefrología
Manifiesta hematuria macroscópica hace una semana.,Urología
Tengo se me regresa la comida agria intermitente.,Gastroenterología
Odontalgia severa con gingivorragia.,Odontología
La luz me molesta muchísimo y siente ya no veo bien las letras de lejos.,Oftalmología
"Doctor, tengo fotofobia que no pasa.",Oftalmología
Siento que estoy aventado intermitente.,Gastroenterología
"Doctor, tengo cólico renoureteral hace una semana.",Urología
Acude por presentar se cortó feo y sale mucha sangre intermitente.,Emergencias
Manifiesta síndrome febril agudo intermitente.,Infectología
Hay presencia de odontalgia severa de inicio súbito.,Odontología
Paciente refiere que síndrome febril agudo que no pasa.,Infectología
Me da amanezco tieso constante.,Reumatología
"Doctor, tengo epistaxis anterior hace una semana.",Otorrinolaringología
"Pérdida de peso caquectizante, también refiere cambios en hábito intestinal.",Oncología
Ayúdeme con ya no hago del baño como antes desde esta mañana.,Oncología
Manifiesta me duele toda la cabeza como si tuviera una vincha de inicio súbito.,Neurología
Manifiesta siento como una pata de elefante en el pecho desde esta mañana.,Cardiología
"Doctor, tengo algia lumbar mecánica que no pasa.",Traumatología
Desde ayer tengo tengo las piernas hinchadas como tamal hace una semana.,Cardiología
Sudoración nocturna y además lesiones herpéticas.,Infectología
Siento que nevus displásico hace una semana.,Dermatología
"Prurito vulvar, acompañado de mastalgia cíclica.",Ginecología
Presento ya no veo bien las letras de lejos constante.,Oftalmología
Acude por presentar rechinar los dientes al dormir que no pasa.,Odontología
Ayúdeme con me mareo si muevo la cabeza de inicio súbito.,Otorrinolaringología
Acude por presentar paso estornudando todo el día de inicio súbito.,Alergología
Se queja de quemadura de segundo grado que no pasa.,Emergencias
"Erupción exantemática, también refiere irritabilidad y llanto constante.",Pediatría
Paciente refiere que hipertensión arterial descontrolada de inicio súbito.,Cardiología
Estoy tosiendo sangre con me chilla el pecho al respirar.,Neumología
Ayúdeme con ideación suicida desde esta mañana.,Psiquiatría
Me da me duele la barriga un poco hace una semana.,Medicina General
Manifiesta ya no hago del baño como antes hace una semana.,Oncología
Me da crisis de ansiedad generalizada desde hace 3 días.,Psiquiatría
Desde ayer tengo tengo sarpullido que pica mucho intermitente.,Dermatología
Ayúdeme con amanecí con los ojos hinchados constante.,Nefrología
Acude por presentar ya no veo bien las letras de lejos de inicio súbito.,Oftalmología
"Crisis convulsiva tónico-clónica, también refiere cefalea tensional holocraneal.",Neurología
Ayúdeme con tos productiva con esputo constante.,Neumología
Me da amanecí con los ojos hinchados desde hace 3 días.,Nefrología
Se queja de me arde la boca del estómago intermitente.,Gastroenterología
El guagua está hirviendo en fiebre y además le salieron granitos en todo el cuerpo.,Pediatría
"Tos ferina, también refiere erupción exantemática.",Pediatría
"Ya no hago del baño como antes, acompañado de me estoy secando de lo flaco.",Oncología
Todo lo que come lo vomita y además le salieron granitos en todo el cuerpo.,Pediatría
Presenta parestesias en hemicuerpo y dice que siento hormigueo en medio cuerpo.,Neurología
Acude por presentar traumatismo craneoencefálico intermitente.,Emergencias
Desde ayer tengo tengo el ojo rojo como tomate intermitente.,Oftalmología
Tengo veo mosquitas volando de inicio súbito.,Oftalmología
Acude por presentar tos ferina de inicio súbito.,Pediatría
Hay presencia de artralgias matutinas hace una semana.,Reumatología
Acude por presentar estoy viendo doble de inicio súbito.,Oftalmología
Desde ayer tengo la luz me molesta muchísimo de inicio súbito.,Oftalmología
Presento cambios en hábito intestinal desde hace 3 días.,Oncología
Hay presencia de me duele toda la cabeza como si tuviera una vincha constante.,Neurología
Hay presencia de me duele toda la cabeza como si tuviera una vincha hace una semana.,Neurología
Tengo fenómeno de Raynaud constante.,Reumatología
Presenta dispepsia funcional y dice que me cae mal todo lo que como.,Gastroenterología
Indica tener reflujo gastroesofágico de inicio súbito.,Gastroenterología
Ayúdeme con gingivorragia desde hace 3 días.,Odontología
Indica tener se me están enchuecando los dedos desde hace 3 días.,Reumatología
Se queja de masa palpable no dolorosa intermitente.,Oncología
Presenta pérdida de peso caquectizante y dice que ya no hago del baño como antes.,Oncología
Paciente refiere que me duele todo el cuerpo que no pasa.,Medicina General
Indica tener odontalgia severa desde esta mañana.,Odontología
Paciente refiere que cambios en hábito intestinal de inicio súbito.,Oncología
Se me está cayendo el pelo por parches y además tengo hongos en la piel.,Dermatología
Ayúdeme con me dio un soponcio y me caí intermitente.,Cardiología
"Se me va el aire al subir gradas, también refiere siento como una pata de elefante en el pecho.",Cardiología
Hay presencia de le salieron granitos en todo el cuerpo que no pasa.,Pediatría
Insomnio de conciliación y además crisis de ansiedad generalizada.,Psiquiatría
"Quemadura de segundo grado, sumado a herida cortopunzante profusa.",Emergencias
Presento vértigo posicional de inicio súbito.,Otorrinolaringología
Hay presencia de vértigo posicional constante.,Otorrinolaringología
Hay presencia de reacción a medicamentos de inicio súbito.,Alergología
Paciente refiere que tengo mal aliento intermitente.,Odontología
Tengo escucho voces que nadie más oye intermitente.,Psiquiatría
Paciente refiere que me salieron ampollas dolorosas intermitente.,Infectología
Manifiesta rechinar los dientes al dormir constante.,Odontología
"Sudo demasiado sin hacer nada, también refiere paso con frío todo el tiempo.",Endocrinología
"Absceso periodontal, sumado a odontalgia severa.",Odontología
"Absceso periodontal, sumado a bruxismo.",Odontología
Desde ayer tengo la presión no me baja con nada desde esta mañana.,Nefrología
"Doctor, tengo ya no veo bien las letras de lejos desde esta mañana.",Oftalmología
"Doctor, tengo me siento una bola dura que no duele desde esta mañana.",Oncología
Presenta cefalea tensional holocraneal y dice que me duele toda la cabeza como si tuviera una vincha.,Neurología
"Epigastralgia urente, sumado a distensión abdominal.",Gastroenterología
"Intolerancia a la vía oral, acompañado de pirexia no cuantificada.",Pediatría
Intolerancia a la vía oral y siente tos ferina.,Pediatría
Ayúdeme con disfunción eréctil desde esta mañana.,Urología
Manifiesta hipertensión resistente que no pasa.,Nefrología
Estoy engordando sin comer tanto y además me tiemblan las manos.,Endocrinología
Indica tener rinitis alérgica estacional que no pasa.,Alergología
Me da anafilaxia hace una semana.,Emergencias
"Me enronché después de tomar la pastilla, acompañado de se me hinchó la boca y los ojos.",Alergología
Manifiesta micosis cutánea hace una semana.,Dermatología
Vértigo periférico y siente crisis convulsiva tónico-clónica.,Neurología
Desde ayer tengo me pica la nariz y los ojos desde hace 3 días.,Alergología
Sudoración nocturna con lesiones herpéticas.,Infectología
"Amanecí con los ojos hinchados, sumado a la orina sale con mucha espuma.",Nefrología
Manifiesta me dio un soponcio y me caí desde hace 3 días.,Cardiología
"Colitis ulcerosa, sumado a dispepsia funcional.",Gastroenterología
Cólico renoureteral y siente disuria y polaquiuria.,Urología
Cervicalgia post-latigazo con edema y equimosis post-traumática.,Traumatología
Me da amanecí con los ojos hinchados que no pasa.,Nefrología
Sudo demasiado sin hacer nada y siente tengo mucha sed y orino bastante.,Endocrinología
Indica tener tengo la presión por las nubes de inicio súbito.,Cardiología
"Me duele la barriga un poco, también refiere tengo un dolorcito de cabeza.",Medicina General
Tengo el colon inflamado y siente me arde la boca del estómago.,Gastroenterología
"Hematemesis, acompañado de dispepsia funcional.",Gastroenterología
Manifiesta estoy tosiendo sangre de inicio súbito.,Neumología
Hay presencia de me estoy secando de lo flaco intermitente.,Oncología
Intoxicación exógena y además quemadura de segundo grado.,Emergencias
"Hipertensión arterial descontrolada, también refiere disnea de esfuerzo.",Cardiología
Acude por presentar distensión abdominal constante.,Gastroenterología
Acude por presentar odinofagia intensa de inicio súbito.,Otorrinolaringología
Paso con frío todo el tiempo y además tengo mucha sed y orino bastante.,Endocrinología
Me estoy secando de lo flaco y siente se me atranca la comida al pasar.,Oncología
Se queja de otalgia derecha hace una semana.,Otorrinolaringología
Me da se está hinchando todo y no respira constante.,Emergencias
Indica tener la orina sale con mucha espuma hace una semana.,Nefrología
Se queja de angina de pecho estable hace una semana.,Cardiología
Siento que diplopía desde hace 3 días.,Oftalmología
"Doctor, tengo disnea paroxística nocturna de inicio súbito.",Neumología
"Se me hinchó la boca y los ojos, también refiere me pica la nariz y los ojos.",Alergología
Me da masa palpable no dolorosa desde hace 3 días.,Oncología
Se queja de edema periorbitario hace una semana.,Nefrología
Presenta crisis de ansiedad generalizada y dice que escucho voces que nadie más oye.,Psiquiatría
Presenta proteinuria espumosa y dice que amanecí con los ojos hinchados.,Nefrología
Desde ayer tengo temblor distal fino de inicio súbito.,Endocrinología
Tengo miodesopsias que no pasa.,Oftalmología
"Distensión abdominal, acompañado de reflujo gastroesofágico.",Gastroenterología
Presento me duele la muela horrible desde esta mañana.,Odontología
Tengo acné nódulo-quístico constante.,Dermatología
Me sangran las encías al cepillarme y además rechinar los dientes al dormir.,Odontología
Acude por presentar se está hinchando todo y no respira constante.,Emergencias
Presento me duele la cintura bajito hace una semana.,Traumatología
Manifiesta no puedo ni tragar del dolor de garganta hace una semana.,Otorrinolaringología
Tengo se me hinchó la boca y los ojos hace una semana.,Alergología
Me mareo si muevo la cabeza y además me duele full el oído derecho.,Otorrinolaringología
Presenta algia lumbar mecánica y dice que tengo el cuello tieso por el frenazo.,Traumatología
Manifiesta epistaxis anterior hace una semana.,Otorrinolaringología
Hay presencia de disnea paroxística nocturna intermitente.,Neumología
Se queja de la luz me molesta muchísimo constante.,Oftalmología
Paciente refiere que odontalgia severa desde esta mañana.,Odontología
"Edema y equimosis post-traumática, acompañado de fractura expuesta.",Traumatología
Migraña con aura y siente parestesias en hemicuerpo.,Neurología
Indica tener disfunción eréctil desde hace 3 días.,Urología
Fotofobia y siente hiperemia conjuntival.,Oftalmología
Desde ayer tengo me punza la espalda al respirar que no pasa.,Neumología
"Tengo mal aliento, acompañado de me sangran las encías al cepillarme.",Odontología
Se queja de insomnio de conciliación desde hace 3 días.,Psiquiatría
Hay presencia de anafilaxia hace una semana.,Emergencias
Dolor musculoesquelético difuso con rinorrea hialina.,Medicina General
Presento me salió alergia por tocar algo intermitente.,Alergología
Acude por presentar distensión abdominal desde esta mañana.,Gastroenterología
Presento dolor abdominal inespecífico de inicio súbito.,Medicina General
"Dolor precordial opresivo, sumado a angina de pecho estable.",Cardiología
Dermatitis de contacto y además prurito ocular y nasal.,Alergología
Hay presencia de ánimo depresivo persistente desde esta mañana.,Psiquiatría
Paciente refiere que tengo morado y soplado después del golpe constante.,Traumatología
Presento amanezco tieso hace una semana.,Reumatología
Indica tener tengo una fiebre que no se me va hace una semana.,Infectología
Siento que me sangran las encías al cepillarme desde esta mañana.,Odontología
"Acné nódulo-quístico, acompañado de alopecia areata.",Dermatología
Se me va el aire al subir gradas con me palpita feo el corazón.,Cardiología
Ayúdeme con se me están enchuecando los dedos desde hace 3 días.,Reumatología
Manifiesta rechinar los dientes al dormir intermitente.,Odontología
Manifiesta disfagia progresiva constante.,Oncología
"Doctor, tengo me duele toda la cabeza como si tuviera una vincha hace una semana.",Neurología
Siento que tengo un nacido en la encía intermitente.,Odontología
Indica tener tengo el cuello tieso por el frenazo intermitente.,Traumatología
Paciente refiere que tengo una picazón allá abajo desde hace 3 días.,Ginecología
Tengo se me ponen los dedos blancos con el frío de inicio súbito.,Reumatología
Tengo sangre en las heces y siente me estoy secando de lo flaco.,Oncología
Acude por presentar gingivorragia desde hace 3 días.,Odontología
Hay presencia de aumento de peso injustificado de inicio súbito.,Endocrinología
Indica tener hipertensión resistente hace una semana.,Nefrología
Manifiesta me duele full el oído derecho constante.,Otorrinolaringología
"Se me ponen los dedos blancos con el frío, también refiere se me están enchuecando los dedos.",Reumatología
Acude por presentar me vienen unos cólicos que me tumban que no pasa.,Ginecología
Desde ayer tengo me duele la espalda baja a los lados hace una semana.,Nefrología
"Mastalgia cíclica, acompañado de dismenorrea incapacitante.",Ginecología
Tengo dolor testicular agudo hace una semana.,Urología
Manifiesta absceso periodontal desde hace 3 días.,Odontología
Me da hemoptisis intermitente.,Neumología
Manifiesta edema angioneurótico desde esta mañana.,Alergología
Me da me sangran las encías al cepillarme de inicio súbito.,Odontología
Indica tener erupción exantemática de inicio súbito.,Pediatría
"Disnea paroxística nocturna, sumado a tos productiva con esputo.",Neumología
Se queja de hematuria macroscópica constante.,Urología
Estoy engordando sin comer tanto con paso con frío todo el tiempo.,Endocrinología
Indica tener pérdida de peso caquectizante constante.,Oncología
Ayúdeme con me arde para orinar y voy a cada rato constante.,Urología
Hay presencia de me duele full el oído derecho intermitente.,Otorrinolaringología
Indica tener hipertensión resistente constante.,Nefrología
Dermatitis atópica y siente acné nódulo-quístico.,Dermatología
Presenta dolor pleurítico y dice que estoy tosiendo sangre.,Neumología
Manifiesta edema y equimosis post-traumática que no pasa.,Traumatología
Manifiesta cefalea tensional holocraneal constante.,Neurología
"Tengo mal aliento, sumado a tengo un nacido en la encía.",Odontología
"Parestesias en hemicuerpo, también refiere crisis convulsiva tónico-clónica.",Neurología
"Ya no veo bien las letras de lejos, acompañado de estoy viendo doble.",Oftalmología
Tengo el colon inflamado y siente me cae mal todo lo que como.,Gastroenterología
Ayúdeme con traumatismo craneoencefálico desde esta mañana.,Emergencias
Me da todo me da vueltas y me tumba hace una semana.,Neurología
Se queja de pérdida de peso caquectizante que no pasa.,Oncología
Paciente refiere que prurito vulvar constante.,Ginecología
Hay presencia de tengo mal aliento intermitente.,Odontología
"Estoy aventado, sumado a se me regresa la comida agria.",Gastroenterología
Desde ayer tengo pérdida de peso caquectizante que no pasa.,Oncología
Acude por presentar crisis convulsiva tónico-clónica hace una semana.,Neurología
Se queja de tengo problemas de potencia sexual desde esta mañana.,Urología
Me da erupción exantemática que no pasa.,Pediatría
Hay presencia de proteinuria espumosa constante.,Nefrología
Desde ayer tengo me hinca el corazón constante.,Cardiología
Hay presencia de cólico renoureteral intermitente.,Urología
Me da le dio el ataque y se sacudió de inicio súbito.,Neurología
